Year,Rank,DJ Name
2015,1,Dimitri Vegas & Mike
2015,2,Hardwell
2015,3,Martin Garrix
2015,4,Armin Van Buuren
2015,5,Tiesto
2015,6,David Guetta
2015,7,Avicii
2015,8,Afrojack
2015,9,Skrillex
2015,10,Steve Aoki
2015,11,Calvin Harris
2015,12,Oliver Heldens
2015,13,Alesso
2015,14,W&W
2015,15,Dash Berlin
2015,16,Dvbbs
2015,17,Axwell & Ingrosso
2015,18,Nicky Romero
2015,19,Blasterjaxx
2015,20,Diplo
2015,21,R3Hab
2015,22,Zedd
2015,23,Kshmr
2015,24,Nervo
2015,25,Deadmau5
2015,26,Dannic
2015,27,Dyro
2015,28,Deorro
2015,29,Above & Beyond
2015,30,Don Diablo
2015,31,Steve Angello
2015,32,Dj Snake
2015,33,Kygo
2015,34,Yves V
2015,35,Fedde Le Grand
2015,36,Ummet Ozcan
2015,37,Showtek
2015,38,Angerfist
2015,39,Bassjackers
2015,40,Andrew Rayel
2015,41,Paul Van Dyk
2015,42,Aly & Fila
2015,43,Vinai
2015,44,Alok
2015,45,Jack U
2015,46,Tom Swoon
2015,47,Shogun
2015,48,Headhunterz
2015,49,Coone
2015,50,Vicetone
2015,51,Richie Hawtin
2015,52,Wolfpack
2015,53,Brennan Heart
2015,54,Major Lazer
2015,55,Porter Robinson
2015,56,Markus Schulz
2015,57,Eric Prydz
2015,58,Diego Miranda
2015,59,Dj Chetas
2015,60,Danny Avila
2015,61,Kura
2015,62,Tchami
2015,63,Carl Cox
2015,64,Laidback Luke
2015,65,Disclosure
2015,66,Firebeatz
2015,67,Dillon Francis
2015,68,Borgore
2015,69,Daft Punk
2015,70,Umek
2015,71,Tenishia
2015,72,Radical Redemption
2015,73,Frontliner
2015,74,Borgeous
2015,75,Netsky
2015,76,Yellow Claw
2015,77,Chuckie
2015,78,Will Sparks
2015,79,Da Tweekaz
2015,80,Quintino
2015,81,Krewella
2015,82,Atb
2015,83,Makj
2015,84,Kaskade
2015,85,Ferry Corsten
2015,86,Flux Pavilion
2015,87,Zatox
2015,88,Carnage
2015,89,Robin Schulz
2015,90,Sander Van Doorn
2015,91,Marlo
2015,92,Andy C
2015,93,Mosimann
2015,94,Miss K8
2015,95,Tujamo
2015,96,Mike Candys
2015,97,Swanky Tunes
2015,98,Galantis
2015,99,Cosmic Gate
2015,100,Knife Party
