Year,Rank,DJ Name
2012,1,Armin Van Buuren
2012,2,Tiesto
2012,3,Avicii
2012,4,David Guetta
2012,5,Deadmau5
2012,6,Hardwell
2012,7,Dash Berlin
2012,8,Above %26 Beyond
2012,9,Afrojack
2012,10,Skrillex
2012,11,Headhunterz
2012,12,Swedish House Mafia
2012,13,Markus Schulz
2012,14,Gareth Emery
2012,15,Steve Aoki
2012,16,Paul Van Dyk
2012,17,Nicky Romero
2012,18,Sander Van Doorn
2012,19,Aly %26 Fila
2012,20,Alesso
2012,21,Atb
2012,22,Ferry Corsten
2012,23,Axwell
2012,24,Dada Life
2012,25,W%26W
2012,26,Fedde Le Grand
2012,27,Noisecontrollers
2012,28,Arty
2012,29,Laidback Luke
2012,30,Kaskade
2012,31,Calvin Harris
2012,32,Orjan Nilsen
2012,33,Knife Party
2012,34,Sebastian Ingrosso
2012,35,Chuckie
2012,36,Zatox
2012,37,Coone
2012,38,Dimitri Vegas %26 Mike
2012,39,Cosmic Gate
2012,40,Porter Robinson
2012,41,Wildstylez
2012,42,Angerfist
2012,43,Infected Mushroom
2012,44,Daft Punk
2012,45,Carl Cox
2012,46,Nervo
2012,47,Pete Tha Zouk
2012,48,Martin Solveig
2012,49,Brennan Heart
2012,50,Tenishia
2012,51,Zedd
2012,52,Eric Prydz
2012,53,Bobina
2012,54,Madeon
2012,55,John Ocallaghan
2012,56,Dj Feel
2012,57,Steve Angello
2012,58,Omnia
2012,59,Umek
2012,60,Wolfgang Gartner
2012,61,An21
2012,62,Tommy Trash
2012,63,Francis Davila
2012,64,D Block %26 S Te Fan
2012,65,Tritonal
2012,66,Bingo Players
2012,67,Psyko Punkz
2012,68,Shogun
2012,69,Paul Oakenfold
2012,70,Benny Benassi
2012,71,Tydi
2012,72,Mat Zo
2012,73,R3Hab
2012,74,Mosimann
2012,75,Wasted Penguinz
2012,76,Dirty South
2012,77,Andrew Rayel
2012,78,Richie Hawtin
2012,79,Frontliner
2012,80,Myon %26 Shane 54
2012,81,Heatbeat
2012,82,Thomas Gold
2012,83,Nero
2012,84,Roger Shah
2012,85,Feed Me
2012,86,Mike Candys
2012,87,Andy Moor
2012,88,Ran D
2012,89,Richard Durand
2012,90,Felguk
2012,91,Paul Kalkbrenner
2012,92,Moonbeam
2012,93,Sean Tyas
2012,94,Bob Sinclair
2012,95,Netsky
2012,96,Neelix
2012,97,Mark Knight
2012,98,John Digweed
2012,99,Da Tweekaz
2012,100,Project 46
