Year,Rank,DJ Name
2011,1,David Guetta
2011,2,Armin Van Buuren
2011,3,Tiesto
2011,4,Deadmau5
2011,5,Above %26 Beyond
2011,6,Avicii
2011,7,Afrojack
2011,8,Dash Berlin
2011,9,Markus Schulz
2011,10,Swedish House Mafia
2011,11,Paul Van Dyk
2011,12,Axwell
2011,13,Gareth Emery
2011,14,Fedde Le Grand
2011,15,Atb
2011,16,Sander Van Doorn
2011,17,Headhunterz
2011,18,Ferry Corsten
2011,19,Skrillex
2011,20,Laidback Luke
2011,21,Infected Mushroom
2011,22,Aly %26 Fila
2011,23,Steve Angello
2011,24,Hardwell
2011,25,Arty
2011,26,Sebastian Ingrosso
2011,27,Benny Benassi
2011,28,Daft Punk
2011,29,Martin Solveig
2011,30,Kaskade
2011,31,Carl Cox
2011,32,Chuckie
2011,33,Bob Sinclair
2011,34,Calvin Harris
2011,35,Noisecontrollers
2011,36,W%26W
2011,37,Pete Tha Zouk
2011,38,Dada Life
2011,39,Angerfist
2011,40,D Block %26 S Te Fan
2011,41,Coone
2011,42,Steve Aoki
2011,43,Cosmic Gate
2011,44,Bobina
2011,45,Richie Hawtin
2011,46,Eric Prydz
2011,47,Zatox
2011,48,Tydi
2011,49,Orjan Nilsen
2011,50,Andy Moor
2011,51,Roger Shah
2011,52,John Ocallaghan
2011,53,Astrix
2011,54,Erick Morillo
2011,55,John Digweed
2011,56,Wolfgang Gartner
2011,57,Dj Feel
2011,58,Showtek
2011,59,Richard Durand
2011,60,Umek
2011,61,Skazi
2011,62,Paul Kalkbrenner
2011,63,Sasha
2011,64,Eddie Halliwell
2011,65,Moonbeam
2011,66,Myon %26 Shane 54
2011,67,Judge Jules
2011,68,Matt Darey
2011,69,Paul Oakenfold
2011,70,Alesso
2011,71,Mark Knight
2011,72,Sean Tyas
2011,73,Mat Zo
2011,74,Lange
2011,75,Joachim Garraud
2011,76,Simon Patterson
2011,77,Francis Davila
2011,78,Psyko Punkz
2011,79,Dimitri Vegas %26 Mike
2011,80,Wildstylez
2011,81,Roger Sanchez
2011,82,Hernan Cattaneo
2011,83,Tritonal
2011,84,Dj Vibe
2011,85,An21
2011,86,Bloody Beetroots
2011,87,Felguk
2011,88,Nero
2011,89,Juanjo Martin
2011,90,Boy George
2011,91,Tenishia
2011,92,Sidney Samson
2011,93,Dirty South
2011,94,James Zabiela
2011,95,Marcel Woods
2011,96,Porter Robinson
2011,97,Sven Vath
2011,98,Brennan Heart
2011,99,Leon Bolier
2011,100,Boys Noize
