Year,Rank,DJ Name
2017,1,Martin Garrix
2017,2,Dimitri Vegas & Mike
2017,3,Armin Van Buuren
2017,4,Hardwell
2017,5,Tiesto
2017,6,Chainsmokers
2017,7,David Guetta
2017,8,Afrojack
2017,9,Steve Aoki
2017,10,Marshmello
2017,11,Don Diablo
2017,12,Kshmr
2017,13,Oliver Heldens
2017,14,W&W
2017,15,Calvin Harris
2017,16,Skrillex
2017,17,Alan Walker
2017,18,R3Hab
2017,19,Alok
2017,20,Dash Berlin
2017,21,Axwell Ingrosso
2017,22,Dvbbs
2017,23,Dj Snake
2017,24,Kygo
2017,25,Diplo
2017,26,Lost Frequencies
2017,27,Above & Beyond
2017,28,Avicii
2017,29,Zedd
2017,30,Quintino
2017,31,Vintage Culture
2017,32,Vinai
2017,33,Headhunterz
2017,34,Eric Prydz
2017,35,Bassjackers
2017,36,Blasterjaxx
2017,37,Alesso
2017,38,Ummet Ozcan
2017,39,Fedde Le Grand
2017,40,Angerfist
2017,41,Wolfpack
2017,42,Nervo
2017,43,Timmy Trumpet
2017,44,Radical Redemption
2017,45,Major Lazer
2017,46,Tujamo
2017,47,Tom Swoon
2017,48,Kura
2017,49,Deadmau5
2017,50,Nicky Romero
2017,51,Paul Van Dyk
2017,52,Danny Avila
2017,53,Aly & Fila
2017,54,Atb
2017,55,Yves V
2017,56,Diego Miranda
2017,57,Yellow Claw
2017,58,Miss K8
2017,59,Brennan Heart
2017,60,Mike Williams
2017,61,Dannic
2017,62,Carl Cox
2017,63,Carl Nunes
2017,64,Lucas & Steve
2017,65,Warface
2017,66,Galantis
2017,67,Da Tweekaz
2017,68,Jay Hardway
2017,69,Claptone
2017,70,Martin Jensen
2017,71,Florian Picasso
2017,72,Vini Vici
2017,73,Jauz
2017,74,Cat Dealers
2017,75,Sam Feldt
2017,76,Robin Schulz
2017,77,Andy C
2017,78,Carnage
2017,79,Andrew Rayel
2017,80,Richie Hawtin
2017,81,Solomun
2017,82,Steve Angello
2017,83,Will Sparks
2017,84,Mariana Bo
2017,85,Black Coffee
2017,86,Dillon Francis
2017,87,Flume
2017,88,Shogun
2017,89,Alison Wonderland
2017,90,Ferry Corsten
2017,91,Maceo Plex
2017,92,Carta
2017,93,Mosimann
2017,94,Julian Jordan
2017,95,Tchami
2017,96,Porter Robinson
2017,97,Paul Kalkbrenner
2017,98,Dj L
2017,99,Swanky Tunes
2017,100,Disclosure
