Year,Rank,DJ Name
2013,1,Hardwell
2013,2,Armin Van Buuren
2013,3,Avicii
2013,4,Tiesto
2013,5,David Guetta
2013,6,Dimitri Vegas %26 Mike
2013,7,Nicky Romero
2013,8,Steve Aoki
2013,9,Afrojack
2013,10,Dash Berlin
2013,11,Skrillex
2013,12,Deadmau5
2013,13,Alesso
2013,14,W%26W
2013,15,Calvin Harris
2013,16,Nervo
2013,17,Above %26 Beyond
2013,18,Sebastian Ingrosso
2013,19,Axwell
2013,20,Aly %26 Fila
2013,21,Markus Schulz
2013,22,Daft Punk
2013,23,Headhunterz
2013,24,Zedd
2013,25,Knife Party
2013,26,Swedish House Mafia
2013,27,Showtek
2013,28,Andrew Rayel
2013,29,Fedde Le Grand
2013,30,Dyro
2013,31,Laidback Luke
2013,32,Paul Van Dyk
2013,33,Atb
2013,34,Angerfist
2013,35,Dada Life
2013,36,Kaskade
2013,37,Frontliner
2013,38,Steve Angello
2013,39,Sander Van Doorn
2013,40,Martin Garrix
2013,41,Porter Robinson
2013,42,Ferry Corsten
2013,43,Chuckie
2013,44,Krewella
2013,45,Coone
2013,46,Carl Cox
2013,47,Bobina
2013,48,Omnia
2013,49,Orjan Nilsen
2013,50,Zatox
2013,51,Gareth Emery
2013,52,Bingo Players
2013,53,Infected Mushroom
2013,54,Eric Prydz
2013,55,Tommy Trash
2013,56,Wildstylez
2013,57,Arty
2013,58,R3Hab
2013,59,Madeon
2013,60,Vicetone
2013,61,Brennan Heart
2013,62,Dj Feel
2013,63,Gunz Hire
2013,64,Diplo
2013,65,Tenishia
2013,66,Noisecontrollers
2013,67,Mike Candys
2013,68,Antoine
2013,69,Mosimann
2013,70,Project 46
2013,71,Blasterjaxx
2013,72,D Block %26 S Te Fan
2013,73,Dillon Francis
2013,74,Dannic
2013,75,Adaro
2013,76,Richie Hawtin
2013,77,Martin Solveig
2013,78,Felguk
2013,79,Myon %26 Shane 54
2013,80,Cosmic Gate
2013,81,Heatbeat
2013,82,John Ocallaghan
2013,83,Wasted Penguinz
2013,84,Tiddey
2013,85,Skazi
2013,86,Da Tweekaz
2013,87,Tenashar
2013,88,Bob Sinclair
2013,89,Benny Benassi
2013,90,Stafford Brothers
2013,91,Bl3Nd
2013,92,Paul Oakenfold
2013,93,Mat Zo
2013,94,Diego Miranda
2013,95,Djs Mars
2013,96,Matt Darey
2013,97,Umek
2013,98,Solarstone
2013,99,Ummet Ozcan
2013,100,Ran D
