Year,Rank,DJ Name
2016,1,Martin Garrix
2016,2,Dimitri Vegas %26 Mike
2016,3,Hardwell
2016,4,Armin Van Buuren
2016,5,Tiesto
2016,6,David Guetta
2016,7,Steve Aoki
2016,8,Oliver Heldens
2016,9,Skrillex
2016,10,Afrojack
2016,11,Avicii
2016,12,Kshmr
2016,13,W%26W
2016,14,Calvin Harris
2016,15,Don Diablo
2016,16,Axwell %26 Ingrosso
2016,17,Dash Berlin
2016,18,Chainsmokers
2016,19,Ummet Ozcan
2016,20,Alesso
2016,21,R3Hab
2016,22,Dj Snake
2016,23,Diplo
2016,24,Dvbbs
2016,25,Alok
2016,26,Kygo
2016,27,Swanky Tunes
2016,28,Marshmello
2016,29,Nicky Romero
2016,30,Steve Angello
2016,31,Deadmau5
2016,32,Quintino
2016,33,Dj Chetas
2016,34,Bassjackers
2016,35,Zedd
2016,36,Headhunterz
2016,37,Vinai
2016,38,Florian Picasso
2016,39,Galantis
2016,40,Jack U
2016,41,Aly %26 Fila
2016,42,Shogun
2016,43,Blasterjaxx
2016,44,Major Lazer
2016,45,Nervo
2016,46,Angerfist
2016,47,Above %26 Beyond
2016,48,Yellow Claw
2016,49,Marlo
2016,50,Fedde Le Grand
2016,51,Kura
2016,52,Lost Stories
2016,53,Deorro
2016,54,Vintage Culture
2016,55,Alan Walker
2016,56,Tom Swoon
2016,57,Coone
2016,58,Diego Miranda
2016,59,Brennan Heart
2016,60,Paul Van Dyk
2016,61,Atb
2016,62,Yves V
2016,63,Wolfpack
2016,64,Dillon Francis
2016,65,Andrew Rayel
2016,66,Eric Prydz
2016,67,Felguk
2016,68,Radical Redemption
2016,69,Robin Schulz
2016,70,Dannic
2016,71,Da Tweekaz
2016,72,Daft Punk
2016,73,Will Sparks
2016,74,Carl Cox
2016,75,Timmy Trumpet
2016,76,Borgore
2016,77,Firebeatz
2016,78,Tujamo
2016,79,Laidback Luke
2016,80,Markus Schulz
2016,81,Vicetone
2016,82,Martin Jensen
2016,83,Jauz
2016,84,Carnage
2016,85,Netsky
2016,86,Carl Nunes
2016,87,Sam Feldt
2016,88,Miss K8
2016,89,Jay Hardway
2016,90,Porter Robinson
2016,91,Bobina
2016,92,Zatox
2016,93,Dyro
2016,94,Flume
2016,95,Infected Mushroom
2016,96,Showtek
2016,97,Daddys Groove
2016,98,Martin Solveig
2016,99,Ferry Corsten
2016,100,Dj Feel
